"Job_Title","Skills"
"Full Stack Developer","react typescript next.js node.js postgresql mongodb graphql docker aws ci/cd tailwind css rest api"
"Frontend Developer","react typescript javascript html5 css3 tailwind css responsive design webpack vite jest cypress figma"
"Backend Engineer","python node.js java spring boot fastapi rest api postgresql mongodb redis kafka docker kubernetes"
"Software Engineer","python java algorithms data structures oop design patterns git agile tdd system design sql"
"Software Architect","system design microservices distributed systems domain driven design cloud native scalability api design"
"Principal Engineer","technical leadership architecture mentoring system design distributed systems scalability"
"Staff Engineer","technical strategy architecture cross team mentoring engineering excellence system design"
"Engineering Manager","team leadership hiring performance review roadmap engineering strategy agile delivery"
"VP of Engineering","engineering leadership organizational design hiring budget roadmap technical strategy culture"
"CTO","technology strategy engineering architecture board fundraising technical vision culture"
"Web Developer","html css javascript react php wordpress nodejs rest api responsive design mysql"
"WordPress Developer","wordpress php mysql elementor woocommerce custom theme custom plugin javascript seo"
"Shopify Developer","shopify liquid javascript css rest api ecommerce shopify theme shopify app"
"Webflow Developer","webflow html css javascript cms interactions animations responsive seo figma"
"Magento Developer","magento php mysql ecommerce rest api custom module performance redis"
"Drupal Developer","drupal php mysql twig custom module rest api html css javascript"
"Joomla Developer","joomla php mysql html css javascript custom component template"
"Mobile App Developer","flutter dart react native swift kotlin firebase rest api sqlite mvvm clean architecture"
"Android Developer","android kotlin jetpack compose coroutines room retrofit hilt firebase material design mvvm"
"iOS Developer","swift swiftui uikit xcode combine coredata alamofire firebase xctest mvvm instruments"
"React Native Developer","react native javascript typescript expo redux firebase rest api android ios navigation"
"Flutter Developer","flutter dart bloc riverpod firebase rest api sqlite android ios state management"
"Ionic Developer","ionic angular typescript capacitor cordova android ios rest api sqlite pwa"
"Xamarin Developer","xamarin c# .net mvvm rest api android ios sqlite azure"
"Python Developer","python django flask fastapi sqlalchemy celery redis postgresql rest api pytest docker"
"Java Developer","java spring boot spring hibernate jpa maven gradle junit postgresql rest api docker"
"Go Developer","go golang gin gorm postgresql redis grpc rest api docker kubernetes prometheus"
"Rust Developer","rust tokio actix axum serde sqlx postgresql redis grpc wasm docker"
"C# Developer","c# .net asp.net entity framework linq sql server azure rest api unit testing microservices"
"PHP Developer","php laravel symfony composer mysql postgresql rest api javascript docker redis testing"
"Ruby Developer","ruby rails rspec sidekiq postgresql redis rest api graphql docker heroku"
"Node.js Developer","node.js typescript express nestjs fastify graphql postgresql mongodb redis kafka docker jest"
"Django Developer","django python django rest framework celery redis postgresql docker pytest graphql"
"Spring Boot Developer","spring boot java spring security jpa hibernate maven gradle postgresql docker rest api"
