Job_Title,Category,Domain,Job_Description,Skills,Keywords,Domain_Signals,Sample_Resume
Data Scientist,Data Scientist,Data Science & Analytics,"Design and implement machine learning models and statistical analyses to extract insights from large datasets. Build dashboards in Tableau/Power BI, write Python/SQL pipelines, perform A/B testing, and communicate findings to business stakeholders.",python pandas numpy sklearn matplotlib tableau power bi sql machine learning xgboost statistical analysis,"python,pandas,numpy,scipy,sklearn,matplotlib,seaborn,plotly,tableau,power bi,sql,machine learning,xgboost,random forest,statistical analysis,a/b testing,hypothesis testing,feature engineering,jupyter,time series","pandas, numpy, scipy, matplotlib, seaborn, plotly, scikit-learn, sklearn, machine learning, deep learning, neural network, pytorch, tensorflow, keras, xgboost, lightgbm, catboost, random forest, decision tree, linear regression, logistic regression, gradient boosting, k-means, clustering, pca, dimensionality reduction, feature engineering, feature selection, cross validation, hyperparameter tuning, model evaluation, a/b testing, hypothesis testing, statistical analysis, statistics, probability, bayesian, time series, forecasting, arima, anomaly detection, recommendation system, jupyter, python, r, sql, tableau, power bi, looker, data visualization, eda, exploratory data analysis","Experienced Data Scientist with expertise in Python, pandas, sklearn, XGBoost, SQL, Tableau, and statistical modelling. Delivered A/B testing frameworks and time-series forecasting models in production."
Machine Learning Engineer,Machine Learning Engineer,Artificial Intelligence,"Build, train, and deploy large-scale ML models using PyTorch and TensorFlow. Manage experiment tracking with MLflow/Wandb, optimise models with ONNX/Triton, and deploy via Kubernetes on cloud infrastructure.",python pytorch tensorflow huggingface transformers mlflow wandb docker kubernetes model deployment,"python,pytorch,tensorflow,keras,huggingface,transformers,bert,gpt,llm,fine tuning,mlflow,wandb,docker,kubernetes,model deployment,model serving,onnx,triton,data pipeline,feature engineering","huggingface, transformers, bert, gpt, llm, large language model, fine-tuning, fine tuning, finetuning, lora, qlora, peft, rlhf, reinforcement learning, computer vision, nlp, natural language processing, object detection, yolo, image classification, semantic segmentation, opencv, stable diffusion, diffusion model, generative ai, foundation model, embeddings, vector database, rag, retrieval augmented generation, langchain, llamaindex, openai api, mlflow, wandb, mlops, model serving, model deployment, torchserve, triton, onnx, cuda, gpu training, distributed training","ML Engineer skilled in PyTorch, TensorFlow, HuggingFace Transformers, LLM fine-tuning, MLflow, Wandb, Docker, and Kubernetes-based model serving pipelines."
MLOps Engineer,MLOps Engineer,Artificial Intelligence,"Build and maintain ML infrastructure including feature stores, model registries, CI/CD pipelines, and monitoring using Kubeflow, SageMaker, and Kubernetes.",mlflow kubeflow sagemaker docker kubernetes terraform github actions model serving monitoring,"mlflow,kubeflow,sagemaker,vertex ai,docker,kubernetes,terraform,github actions,dbt,model serving,monitoring,prometheus,grafana,feature store,wandb,ci/cd","huggingface, transformers, bert, gpt, llm, large language model, fine-tuning, fine tuning, finetuning, lora, qlora, peft, rlhf, reinforcement learning, computer vision, nlp, natural language processing, object detection, yolo, image classification, semantic segmentation, opencv, stable diffusion, diffusion model, generative ai, foundation model, embeddings, vector database, rag, retrieval augmented generation, langchain, llamaindex, openai api, mlflow, wandb, mlops, model serving, model deployment, torchserve, triton, onnx, cuda, gpu training, distributed training","MLOps Engineer experienced in MLflow, Kubeflow, SageMaker, Kubernetes, Terraform, GitHub Actions, Prometheus/Grafana, and end-to-end ML pipeline automation."
Data Architect,Data Architect,Data Engineering,"Define enterprise data architecture, design dimensional schemas, govern data quality and lineage, and oversee migration to modern cloud platforms.",data modeling star schema data warehouse data lake data governance dbt sql bigquery snowflake,"data modeling,star schema,dimensional modeling,data warehouse,data lake,data governance,data catalog,data lineage,dbt,sql,bigquery,snowflake,metadata management,erp","apache spark, pyspark, apache kafka, apache airflow, prefect, dagster, dbt, data build tool, etl, elt, data pipeline, data warehouse, data lake, data lakehouse, bigquery, snowflake, redshift, databricks, delta lake, apache iceberg, hudi, hadoop, hive, flink, airbyte, fivetran, data modeling, star schema, dimensional modeling, data quality, data governance, data catalog, data lineage, streaming, batch processing, real-time, change data capture, cdc","Data Architect experienced in enterprise data modelling, Snowflake, BigQuery, Databricks, dimensional modelling, and data governance."
Data Engineer,Data Engineer,Data Engineering,"Design scalable data pipelines using Spark, Kafka, and Airflow. Build data warehouses on Snowflake/BigQuery, manage dbt transformations, and ensure lakehouse data quality.",apache spark pyspark kafka airflow dbt sql bigquery snowflake databricks delta lake etl streaming,"apache spark,pyspark,apache kafka,apache airflow,prefect,dagster,dbt,sql,python,bigquery,snowflake,redshift,databricks,delta lake,etl,data pipeline,data warehouse,data lake,streaming","apache spark, pyspark, apache kafka, apache airflow, prefect, dagster, dbt, data build tool, etl, elt, data pipeline, data warehouse, data lake, data lakehouse, bigquery, snowflake, redshift, databricks, delta lake, apache iceberg, hudi, hadoop, hive, flink, airbyte, fivetran, data modeling, star schema, dimensional modeling, data quality, data governance, data catalog, data lineage, streaming, batch processing, real-time, change data capture, cdc","Data Engineer with expertise in Apache Spark, Kafka, Airflow, dbt, Snowflake, BigQuery, Databricks, and production ETL pipeline development."
Big Data Developer,Big Data Developer,Data Engineering,"Build big data pipelines using Hadoop, Spark, and Kafka. Develop real-time streaming with Flink, manage HBase/Cassandra, and optimise large-scale batch processing.",apache spark pyspark hadoop hive kafka flink bigquery scala data pipeline etl streaming,"apache spark,pyspark,hadoop,hive,hdfs,kafka,flink,bigquery,scala,java,python,delta lake,data pipeline,etl,streaming,batch processing","apache spark, pyspark, apache kafka, apache airflow, prefect, dagster, dbt, data build tool, etl, elt, data pipeline, data warehouse, data lake, data lakehouse, bigquery, snowflake, redshift, databricks, delta lake, apache iceberg, hudi, hadoop, hive, flink, airbyte, fivetran, data modeling, star schema, dimensional modeling, data quality, data governance, data catalog, data lineage, streaming, batch processing, real-time, change data capture, cdc","Big Data Developer with expertise in Hadoop, Spark, Kafka, Flink, Scala, and cloud-based EMR/Databricks data processing."
AI Research Scientist,AI Research Scientist,Artificial Intelligence,"Conduct original AI/ML research, publish to top conferences (NeurIPS, ICML, ICLR), implement novel architectures in PyTorch, and transfer research into production systems.",pytorch jax huggingface llm fine tuning rlhf alignment deep learning nlp distributed training,"pytorch,jax,huggingface,transformers,llm,gpt,bert,fine tuning,rlhf,alignment,arxiv,publications,deep learning,nlp,computer vision,distributed training","huggingface, transformers, bert, gpt, llm, large language model, fine-tuning, fine tuning, finetuning, lora, qlora, peft, rlhf, reinforcement learning, computer vision, nlp, natural language processing, object detection, yolo, image classification, semantic segmentation, opencv, stable diffusion, diffusion model, generative ai, foundation model, embeddings, vector database, rag, retrieval augmented generation, langchain, llamaindex, openai api, mlflow, wandb, mlops, model serving, model deployment, torchserve, triton, onnx, cuda, gpu training, distributed training","AI Research Scientist with NeurIPS/ICML publications, expertise in PyTorch, transformers, reinforcement learning, diffusion models, and CUDA distributed training."
Computer Vision Engineer,Computer Vision Engineer,Artificial Intelligence,Develop CV systems for object detection and segmentation using YOLO and PyTorch. Optimise models with TensorRT/ONNX for GPU and edge deployment.,opencv pytorch yolo image classification object detection semantic segmentation stable diffusion clip,"opencv,pytorch,tensorflow,yolo,yolov8,faster rcnn,image classification,object detection,semantic segmentation,pose estimation,stable diffusion,clip,point cloud,roboflow","huggingface, transformers, bert, gpt, llm, large language model, fine-tuning, fine tuning, finetuning, lora, qlora, peft, rlhf, reinforcement learning, computer vision, nlp, natural language processing, object detection, yolo, image classification, semantic segmentation, opencv, stable diffusion, diffusion model, generative ai, foundation model, embeddings, vector database, rag, retrieval augmented generation, langchain, llamaindex, openai api, mlflow, wandb, mlops, model serving, model deployment, torchserve, triton, onnx, cuda, gpu training, distributed training","Computer Vision Engineer skilled in PyTorch, OpenCV, YOLO, TensorRT, ONNX, semantic segmentation, and real-time inference optimisation."
NLP Engineer,NLP Engineer,Artificial Intelligence,"Build NLP pipelines for text classification, NER, and QA using HuggingFace Transformers. Develop RAG systems with LangChain and vector databases like Pinecone/Weaviate.",nlp pytorch huggingface transformers bert spacy text classification sentiment analysis rag embeddings,"nlp,pytorch,huggingface,transformers,bert,gpt,t5,roberta,spacy,nltk,text classification,sentiment analysis,ner,question answering,summarization,langchain,rag,embeddings","huggingface, transformers, bert, gpt, llm, large language model, fine-tuning, fine tuning, finetuning, lora, qlora, peft, rlhf, reinforcement learning, computer vision, nlp, natural language processing, object detection, yolo, image classification, semantic segmentation, opencv, stable diffusion, diffusion model, generative ai, foundation model, embeddings, vector database, rag, retrieval augmented generation, langchain, llamaindex, openai api, mlflow, wandb, mlops, model serving, model deployment, torchserve, triton, onnx, cuda, gpu training, distributed training","NLP Engineer proficient in HuggingFace, BERT, GPT, spaCy, LangChain, RAG pipelines, vector databases, and production NLP deployment."
Deep Learning Specialist,Deep Learning Specialist,Artificial Intelligence,"Research and develop deep learning architectures for computer vision and NLP tasks. Train large models on GPU clusters, fine-tune foundation models with RLHF/LoRA, and deploy generative AI pipelines.",pytorch tensorflow keras cuda gpu training transformers diffusion models generative ai rlhf bert gpt fine-tuning mlflow,"pytorch,tensorflow,keras,cuda,gpu,transformers,bert,gpt,diffusion,generative ai,fine-tuning,mlflow,neural networks,deep learning,computer vision,nlp","huggingface, transformers, bert, gpt, llm, large language model, fine-tuning, fine tuning, finetuning, lora, qlora, peft, rlhf, reinforcement learning, computer vision, nlp, natural language processing, object detection, yolo, image classification, semantic segmentation, opencv, stable diffusion, diffusion model, generative ai, foundation model, embeddings, vector database, rag, retrieval augmented generation, langchain, llamaindex, openai api, mlflow, wandb, mlops, model serving, model deployment, torchserve, triton, onnx, cuda, gpu training, distributed training","Deep Learning Specialist with expertise in PyTorch, CUDA, Transformers, generative AI, diffusion models, and RLHF fine-tuning of large language models."
Robotics Engineer,Robotics Engineer,Robotics & Automation,"Develop autonomous robot navigation with ROS2, implement SLAM and motion planning, build LiDAR/camera perception pipelines, and simulate in Gazebo.",ros ros2 python c++ motion planning slam computer vision opencv embedded systems arduino raspberry pi matlab simulink,"ros,ros2,motion planning,slam,computer vision,opencv,embedded,arduino,raspberry pi,matlab,c++,python,robotics,automation","cad, solidworks, autocad, catia, ansys, matlab, simulink, finite element analysis, fea, cfd, computational fluid dynamics, pcb, circuit design, plc, scada, manufacturing, lean, six sigma, tolerancing, gd&t, thermodynamics, fluid mechanics, structural analysis, materials science, ros, robotics, kinematics, dynamics, control systems, pid controller","Robotics Engineer with ROS/ROS2, SLAM, motion planning, LiDAR perception, OpenCV, Gazebo simulation, and hardware deployment expertise."
Automation Engineer,Automation Engineer,Software Quality Assurance,"Build test automation frameworks, CI/CD pipelines with Jenkins, automate infrastructure with Ansible/Terraform, and implement RPA solutions.",selenium pytest robot framework jenkins ci/cd ansible terraform bash scripting python java testng postman,"selenium,pytest,robot framework,jenkins,ci/cd,ansible,terraform,bash,python,java,testng,postman,automation,testing","cad, solidworks, autocad, catia, ansys, matlab, simulink, finite element analysis, fea, cfd, computational fluid dynamics, pcb, circuit design, plc, scada, manufacturing, lean, six sigma, tolerancing, gd&t, thermodynamics, fluid mechanics, structural analysis, materials science, ros, robotics, kinematics, dynamics, control systems, pid controller","Automation Engineer with Selenium, Robot Framework, Jenkins, Ansible, Terraform, Python, RPA/UiPath, and end-to-end automation expertise."
Software Engineer,Software Engineer,Software Engineering,"Write clean, well-tested code, design scalable systems, review PRs, and mentor junior engineers using agile methodologies.",python java algorithms data structures oop design patterns git agile tdd system design sql,"python,java,c++,c#,javascript,typescript,algorithms,data structures,oop,design patterns,solid,git,agile,tdd,system design,code review,unit testing,rest api,sql,docker,linux","node.js, nodejs, express.js, expressjs, nestjs, fastapi, django, flask, spring boot, spring, laravel, rails, ruby on rails, asp.net, .net, go, golang, rust, kotlin, java, python, ruby, php, c#, rest api, restful api, graphql, grpc, websocket, socket.io, microservices, message queue, rabbitmq, apache kafka, redis, celery, api design, swagger, openapi, oauth2, jwt, authentication, authorization, rate limiting, pagination, webhook, event driven, serverless","Software Engineer proficient in Python, Java, C++, algorithms, system design, REST APIs, Docker, and CI/CD."
Full Stack Developer,Full Stack Developer,Software Engineering,Build full-stack web apps using React/Next.js and Node.js/PostgreSQL. Deploy microservices via Docker on AWS with CI/CD pipelines.,react typescript next.js node.js postgresql mongodb graphql docker aws ci/cd tailwind css rest api,"react,next.js,nextjs,angular,vue,typescript,javascript,node.js,nodejs,express,nestjs,graphql,rest api,mongodb,postgresql,redis,tailwind css,html5,css3,docker,aws,ci/cd,microservices,jwt,oauth,git,agile","react, react.js, reactjs, next.js, nextjs, next js, angular, angularjs, vue.js, vuejs, vue, svelte, sveltekit, nuxt.js, nuxtjs, typescript, javascript, html5, html, css3, css, tailwind css, tailwindcss, bootstrap, sass, scss, less, redux, zustand, mobx, react query, tanstack query, react hooks, context api, webpack, vite, parcel, babel, eslint, prettier, jest, vitest, cypress, playwright, storybook, framer motion, gsap, three.js, d3.js, chart.js, recharts, web components, pwa, progressive web app, single page application, spa, server side rendering, ssr, static site generation, ssg, jamstack, microfrontend, responsive design, mobile first, cross browser, web accessibility, wcag, lighthouse, web performance, core web vitals","Full Stack Developer proficient in React, Next.js, TypeScript, Node.js, PostgreSQL, MongoDB, GraphQL, Docker, and AWS."
Backend Engineer,Backend Engineer,Software Engineering,"Build scalable backend services using Python/FastAPI or Java/Spring Boot. Implement REST/gRPC APIs, manage PostgreSQL/Redis, build Kafka streams, and deploy on Kubernetes.",python node.js java spring boot fastapi rest api postgresql mongodb redis kafka docker kubernetes,"node.js,python,java,go,rust,fastapi,django,flask,spring boot,express,nestjs,rest api,graphql,grpc,microservices,postgresql,mysql,mongodb,redis,kafka,rabbitmq,docker,kubernetes,aws,jwt,oauth2","node.js, nodejs, express.js, expressjs, nestjs, fastapi, django, flask, spring boot, spring, laravel, rails, ruby on rails, asp.net, .net, go, golang, rust, kotlin, java, python, ruby, php, c#, rest api, restful api, graphql, grpc, websocket, socket.io, microservices, message queue, rabbitmq, apache kafka, redis, celery, api design, swagger, openapi, oauth2, jwt, authentication, authorization, rate limiting, pagination, webhook, event driven, serverless","Backend Engineer experienced in Python, FastAPI, Java, Spring Boot, REST/GraphQL, PostgreSQL, Redis, Kafka, Docker, and Kubernetes."
Frontend Developer,Frontend Developer,Software Engineering,"Develop responsive, accessible UIs using React/Vue with TypeScript. Implement state management, write Jest/Cypress tests, and collaborate with designers via Figma.",react typescript javascript html5 css3 tailwind css responsive design webpack vite jest cypress figma,"react,angular,vue,svelte,typescript,javascript,html5,css3,tailwind css,bootstrap,sass,scss,redux,zustand,react query,webpack,vite,jest,cypress,playwright,figma,responsive design,wcag,pwa,storybook,framer motion","react, react.js, reactjs, next.js, nextjs, next js, angular, angularjs, vue.js, vuejs, vue, svelte, sveltekit, nuxt.js, nuxtjs, typescript, javascript, html5, html, css3, css, tailwind css, tailwindcss, bootstrap, sass, scss, less, redux, zustand, mobx, react query, tanstack query, react hooks, context api, webpack, vite, parcel, babel, eslint, prettier, jest, vitest, cypress, playwright, storybook, framer motion, gsap, three.js, d3.js, chart.js, recharts, web components, pwa, progressive web app, single page application, spa, server side rendering, ssr, static site generation, ssg, jamstack, microfrontend, responsive design, mobile first, cross browser, web accessibility, wcag, lighthouse, web performance, core web vitals","Frontend Developer skilled in React, TypeScript, Vue, Tailwind CSS, Redux, Webpack, Jest, Cypress, and Figma-driven UI development."
Mobile App Developer,Mobile App Developer,Mobile Development,"Build cross-platform mobile apps using React Native or Flutter. Integrate APIs, manage state, automate CI/CD with Fastlane, and publish to App Store and Google Play.",flutter dart react native swift kotlin firebase rest api sqlite mvvm clean architecture,"flutter,dart,react native,android,ios,swift,kotlin,firebase,rest api,sqlite,state management,mvvm,clean architecture,ci/cd,fastlane","flutter, dart, react native, swift, swiftui, kotlin, android, ios, xcode, android studio, firebase, push notifications, in-app purchase, app store, play store, jetpack compose, coroutines, mvvm, clean architecture","Mobile Developer skilled in React Native, Flutter, Swift, Kotlin, Firebase, REST/GraphQL, state management, and App Store/Play Store deployment."
iOS Developer,iOS Developer,Mobile Development,"Build native iOS apps using Swift and SwiftUI. Use Combine for reactive patterns, Core Data for persistence, and ship via TestFlight and App Store Connect.",swift swiftui uikit xcode combine coredata alamofire firebase xctest mvvm instruments,"swift,swiftui,uikit,objective-c,xcode,combine,async await,coredata,firebase,alamofire,realm,keychain,testflight,xctest,mvvm,instruments","flutter, dart, react native, swift, swiftui, kotlin, android, ios, xcode, android studio, firebase, push notifications, in-app purchase, app store, play store, jetpack compose, coroutines, mvvm, clean architecture","iOS Developer proficient in Swift, SwiftUI, UIKit, Core Data, Combine, Xcode, and App Store deployment."
Android Developer,Android Developer,Mobile Development,"Develop Android apps with Kotlin and Jetpack Compose, implement MVVM, manage data with Room, and deploy via Google Play with Fastlane CI/CD.",android kotlin jetpack compose coroutines room retrofit hilt firebase material design mvvm,"android,kotlin,java,jetpack compose,viewmodel,livedata,coroutines,flow,room,retrofit,hilt,dagger,firebase,material design,unit testing,espresso,mvvm,gradle","flutter, dart, react native, swift, swiftui, kotlin, android, ios, xcode, android studio, firebase, push notifications, in-app purchase, app store, play store, jetpack compose, coroutines, mvvm, clean architecture","Android Developer skilled in Kotlin, Jetpack Compose, Room, Retrofit, Coroutines, MVVM, Firebase, and Google Play deployment."
DevOps Engineer,DevOps Engineer,DevOps & Cloud,"Build CI/CD pipelines, manage infrastructure-as-code with Terraform, orchestrate containers with Kubernetes, and maintain observability with Prometheus/Grafana.",docker kubernetes helm terraform ansible jenkins github actions aws linux prometheus grafana ci/cd,"docker,kubernetes,helm,terraform,ansible,jenkins,github actions,gitlab ci,argocd,aws,gcp,azure,linux,bash,prometheus,grafana,elk,ci/cd,gitops,infrastructure as code","docker, kubernetes, k8s, helm, ci/cd, ci cd, jenkins, github actions, gitlab ci, circleci, argocd, terraform, ansible, puppet, chef, linux, bash, shell scripting, aws, gcp, azure, cloudformation, cdk, pulumi, nginx, haproxy, prometheus, grafana, datadog, new relic, splunk, elk stack, elasticsearch, logstash, kibana, infrastructure as code, iac, gitops, devops, platform engineering, sre, site reliability, on-call, incident management, postmortem, chaos engineering, load balancing, auto scaling, high availability, disaster recovery","DevOps Engineer skilled in Docker, Kubernetes, Terraform, Ansible, GitHub Actions, AWS/Azure/GCP, Prometheus, Grafana, and ArgoCD."
Cloud Architect,Cloud Architect,DevOps & Cloud,"Design multi-cloud architectures, define security posture, optimise costs, and lead cloud migration programmes across AWS, Azure, and GCP.",aws azure gcp terraform serverless kubernetes docker vpc iam well-architected cost optimization,"aws,azure,gcp,terraform,pulumi,serverless,kubernetes,docker,microservices,vpc,iam,cloudformation,cdk,well-architected,cost optimization,high availability,disaster recovery","aws, amazon web services, ec2, s3, lambda, ecs, eks, rds, cloudfront, route53, vpc, iam, gcp, google cloud, compute engine, cloud storage, cloud run, gke, cloud functions, azure, azure functions, azure devops, aks, blob storage, serverless, cloud native, multi-cloud, hybrid cloud, cloud migration, cloud architecture, well-architected, cost optimization, reserved instances","Cloud Architect with expertise in AWS, Azure, GCP, Terraform, Kubernetes, serverless, cloud security, and multi-cloud cost optimisation."
Cloud Security Engineer,Cloud Security Engineer,General,cloud security engineer skills experience responsibilities and industry knowledge,aws security iam rbac cspm container security trivy snyk opa devsecops soc2 vault,"aws security,gcp security,azure security,iam,rbac,cspm,container security,trivy,snyk,opa,falco,devsecops,compliance,soc2,iso 27001,vault,kms",,experienced professional with skills in cloud security engineer related tools technologies and responsibilities
Site Reliability Engineer,Site Reliability Engineer,DevOps & Cloud,"Define SLOs/SLIs, manage on-call incidents, implement chaos engineering, and build observability platforms for 99.9%+ reliability.",kubernetes prometheus grafana slo sla distributed tracing opentelemetry python go terraform,"kubernetes,prometheus,grafana,alertmanager,pagerduty,slo,sla,sli,error budget,distributed tracing,opentelemetry,elk,python,go,bash,terraform,docker,ci/cd,incident management","docker, kubernetes, k8s, helm, ci/cd, ci cd, jenkins, github actions, gitlab ci, circleci, argocd, terraform, ansible, puppet, chef, linux, bash, shell scripting, aws, gcp, azure, cloudformation, cdk, pulumi, nginx, haproxy, prometheus, grafana, datadog, new relic, splunk, elk stack, elasticsearch, logstash, kibana, infrastructure as code, iac, gitops, devops, platform engineering, sre, site reliability, on-call, incident management, postmortem, chaos engineering, load balancing, auto scaling, high availability, disaster recovery","SRE experienced in Kubernetes, Prometheus, Grafana, Datadog, SLO/SLI management, chaos engineering, and large-scale incident response."
