"Category","Keywords"
"Full Stack Developer","react,next.js,nextjs,angular,vue,typescript,javascript,node.js,nodejs,express,nestjs,graphql,rest api,mongodb,postgresql,redis,tailwind css,html5,css3,docker,aws,ci/cd,microservices,jwt,oauth,git,agile"
"Frontend Developer","react,angular,vue,svelte,typescript,javascript,html5,css3,tailwind css,bootstrap,sass,scss,redux,zustand,react query,webpack,vite,jest,cypress,playwright,figma,responsive design,wcag,pwa,storybook,framer motion"
"Backend Engineer","node.js,python,java,go,rust,fastapi,django,flask,spring boot,express,nestjs,rest api,graphql,grpc,microservices,postgresql,mysql,mongodb,redis,kafka,rabbitmq,docker,kubernetes,aws,jwt,oauth2"
"Software Engineer","python,java,c++,c#,javascript,typescript,algorithms,data structures,oop,design patterns,solid,git,agile,tdd,system design,code review,unit testing,rest api,sql,docker,linux"
"Software Architect","system design,microservices,event driven,domain driven design,ddd,distributed systems,cqrs,event sourcing,api gateway,load balancing,scalability,fault tolerance,cloud native,aws,gcp,azure,terraform,c4 model"
"Principal Engineer","technical leadership,architecture,mentoring,system design,distributed systems,scalability,code review,engineering strategy,roadmap,cross functional,python,java,go,cloud,microservices"
"Staff Engineer","technical strategy,architecture decisions,cross team,mentoring,engineering excellence,system design,scalability,code quality,rfc,adr"
"Engineering Manager","team leadership,hiring,performance review,1on1,roadmap,engineering strategy,agile,scrum,stakeholder management,delivery,okr,metrics"
"VP of Engineering","engineering leadership,organizational design,hiring,budget,roadmap,strategy,okr,board,investor,technical strategy,culture,retention"
"CTO","technology strategy,product,engineering,architecture,board,investor,fundraising,team building,culture,roadmap,technical vision,ip,patents"
"Web Developer","html,css,javascript,react,php,wordpress,nodejs,rest api,responsive design,seo,git,ftp,cpanel,mysql,bootstrap"
"WordPress Developer","wordpress,php,mysql,elementor,woocommerce,acf,custom theme,custom plugin,rest api,html,css,javascript,cpanel,hosting,seo"
"Shopify Developer","shopify,liquid,shopify theme,shopify app,javascript,css,rest api,graphql,klaviyo,recharge,metafields,shopify plus,ecommerce"
"Webflow Developer","webflow,html,css,javascript,cms,interactions,animations,responsive,seo,figma,custom code"
"Magento Developer","magento,php,mysql,html,css,javascript,ecommerce,rest api,payment gateway,custom module,performance,redis,elasticsearch"
"Drupal Developer","drupal,php,mysql,twig,custom module,custom theme,rest api,html,css,javascript,composer,drush"
"Joomla Developer","joomla,php,mysql,html,css,javascript,custom component,template,rest api,seo"
"Mobile App Developer","flutter,dart,react native,android,ios,swift,kotlin,firebase,rest api,sqlite,state management,mvvm,clean architecture,ci/cd,fastlane"
"Android Developer","android,kotlin,java,jetpack compose,viewmodel,livedata,coroutines,flow,room,retrofit,hilt,dagger,firebase,material design,unit testing,espresso,mvvm,gradle"
"iOS Developer","swift,swiftui,uikit,objective-c,xcode,combine,async await,coredata,firebase,alamofire,realm,keychain,testflight,xctest,mvvm,instruments"
"React Native Developer","react native,javascript,typescript,expo,redux,react query,firebase,rest api,android,ios,navigation,testing,ci/cd,fastlane"
"Flutter Developer","flutter,dart,bloc,provider,riverpod,firebase,rest api,sqlite,android,ios,state management,ci/cd,unit testing,widget testing"
